incremental_id,event_type,description,event_date,status,date_reported,id
0,Murder,Statement simply feel forget training camera company back serious professor none.,2011-04-03,Pending,2023-08-29,673ef5fdcfcd208495001234
1,Theft,Concern official very lose pay foreign time property city director.,2016-10-18,Pending,2015-03-07,673ef5fdc4ca4238a0001234
2,Murder,Feel section similar minute difference cultural claim test federal.,2021-05-20,Closed,2008-01-19,673ef5fdc81e728d9d001234
3,Theft,Parent attention why thousand environment common what energy.,2012-02-13,Investigating,2010-08-18,673ef5fdeccbc87e4b001234
4,Kidnapping,Free listen commercial turn whose system area voice education.,2005-06-09,Closed,2010-01-26,673ef5fda87ff679a2001234
5,Theft,Marriage bag concern tell attack unit.,2014-04-12,Investigating,2008-01-28,673ef5fde4da3b7fbb001234
6,Kidnapping,Newspaper development production rock several town run it age smile upon course reality.,2013-05-15,Investigating,2014-05-14,673ef5fd1679091c5a001234
7,Murder,Receive whom station suddenly allow his.,2012-06-12,Investigating,2007-01-28,673ef5fd8f14e45fce001234
8,Kidnapping,Short group strategy heavy degree course.,2021-11-02,Pending,2024-10-02,673ef5fdc9f0f895fb001234
9,Attempt,Tv account enjoy attack leader cell magazine page.,2005-06-06,Closed,2014-03-10,673ef5fd45c48cce2e001234
10,Murder,Near have model performance mean everything reduce matter here notice medical between one.,2019-08-23,Pending,2007-07-07,673ef5fdd3d9446802001234
11,Kidnapping,Cultural mother medical concern memory finally other western.,2021-06-04,Investigating,2020-08-23,673ef5fd6512bd43d9001234
12,Murder,Deep car include question raise beyond plan despite future charge voice.,2011-06-14,Investigating,2014-08-15,673ef5fdc20ad4d76f001234
13,Attempt,Answer sell majority morning agent like bag project.,2006-03-22,Closed,2012-03-17,673ef5fdc51ce410c1001234
14,Murder,Southern those race you third life bad show case civil student candidate.,2010-10-11,Closed,2012-05-15,673ef5fdaab3238922001234
15,Murder,First now series keep window customer contain however address.,2021-11-01,Closed,2016-05-28,673ef5fd9bf31c7ff0001234
16,Attempt,Culture bed hotel not rise in their your teach give.,2005-02-24,Pending,2015-07-14,673ef5fdc74d97b01e001234
17,Theft,Serve sister center strategy important human sense try too nothing reflect fill.,2022-10-13,Pending,2009-12-07,673ef5fd70efdf2ec9001234
18,Theft,Eat push see simple trouble major far keep.,2021-03-07,Closed,2013-11-03,673ef5fd6f4922f455001234
19,Kidnapping,Current television claim conference size point detail over year natural shake election attack.,2005-03-06,Pending,2005-07-17,673ef5fd1f0e3dad99001234
20,Kidnapping,Green light avoid shoulder though still vote five difficult.,2017-08-29,Pending,2011-12-03,673ef5fd98f1370821001234
21,Murder,Name black ask dream maybe rate goal performance class brother.,2007-03-22,Pending,2023-06-10,673ef5fd3c59dc048e001234
