incremental_id,first_name,last_name,gender,nationality,relationship_status,phone_number,email,date_of_birth,occupation,status,id
0,Rachel,Castillo,Female,German,Single,001-399-663-6557,palmeramy@example.net,1957-10-05,Doctor,Innocent,67387e96cfcd208495001234
1,Sarah,Mcintosh,Female,German,Married,536-445-5814x625,joshuamartinez@example.org,1949-08-02,Workman,Suspected,67387e96c4ca4238a0001234
2,Alicia,Smith,Male,English,Single,+1-334-462-8062,levijones@example.org,2013-01-01,Workman,Suspected,67387e96c81e728d9d001234
3,Yolanda,Jones,Female,English,Married,(223)461-0873,vpayne@example.net,2001-08-06,Engineer,Innocent,67387e96eccbc87e4b001234
4,Jacob,Curry,Male,Spanish,Single,765-693-6283,pennyali@example.com,2002-08-27,Workman,Suspected,67387e96a87ff679a2001234
5,Robert,Williams,Male,Italian,Single,380-532-9592x14865,mcclainlaura@example.net,1984-03-06,Doctor,Guilty,67387e96e4da3b7fbb001234
6,Lauren,Green,Male,French,Single,001-263-715-7281x7402,pfernandez@example.org,1991-07-04,Engineer,Guilty,67387e961679091c5a001234
7,Crystal,Diaz,Female,American,Married,001-727-864-3425x290,andrewgray@example.org,1924-02-17,Doctor,Innocent,67387e968f14e45fce001234
8,Lauren,Anderson,Male,Spanish,Married,(520)936-6191x483,colechristian@example.org,1967-02-14,Policeman,Suspected,67387e96c9f0f895fb001234
9,James,Johnson,Male,American,Single,852-285-1000x910,christinahill@example.org,1958-05-30,Engineer,Guilty,67387e9645c48cce2e001234
10,Kathleen,Cameron,Female,Spanish,Married,7244914635,jennacurtis@example.com,2001-05-24,Workman,Suspected,67387e96d3d9446802001234
11,Cynthia,Moore,Female,American,Married,(909)213-7458x2453,royeric@example.com,1929-07-20,Engineer,Innocent,67387e966512bd43d9001234
12,Paul,Randall,Female,American,Married,277-271-2006x203,samuelstevens@example.com,1915-08-01,Doctor,Guilty,67387e96c20ad4d76f001234
13,Jason,Garcia,Male,French,Single,(488)812-3635,bking@example.org,1970-09-24,Workman,Suspected,67387e96c51ce410c1001234
14,Austin,Vargas,Male,French,Married,+1-477-848-8052,courtney24@example.com,2006-12-22,Policeman,Guilty,67387e96aab3238922001234
15,Matthew,Wood,Male,American,Single,698.418.4103x50811,preynolds@example.com,1943-08-11,Doctor,Suspected,67387e969bf31c7ff0001234
16,Dana,Kent,Male,American,Married,001-767-225-4122x50066,loganharmon@example.net,1989-10-27,Engineer,Innocent,67387e96c74d97b01e001234
17,Allison,Gordon,Male,English,Single,+1-441-388-6976,jennifer13@example.net,1956-05-17,Policeman,Innocent,67387e9670efdf2ec9001234
