incremental_id,first_name,last_name,gender,nationality,relationship_status,phone_number,email,date_of_birth,occupation,status,id
0,Michael,Lucas,Male,Italian,Married,9557610862,hortonkimberly@example.org,1944-06-04,Doctor,Guilty,673ef5fbcfcd208495001234
1,Jason,Long,Male,English,Married,8106276059,dwayne27@example.org,1965-02-14,Engineer,Guilty,673ef5fbc4ca4238a0001234
2,Kelly,Serrano,Female,Italian,Single,806.557.7433x4560,matthew26@example.net,1939-11-06,Workman,Innocent,673ef5fbc81e728d9d001234
3,Michael,Pierce,Male,Spanish,Single,+1-997-961-8564,wbell@example.com,1919-07-30,Doctor,Suspected,673ef5fbeccbc87e4b001234
4,Gabrielle,Rivera,Female,English,Married,481-825-1499x945,ramirezkelsey@example.net,1985-08-31,Workman,Innocent,673ef5fba87ff679a2001234
5,Jodi,Wilson,Female,Italian,Married,420-984-3176x837,mcknightaustin@example.net,1987-08-02,Policeman,Suspected,673ef5fbe4da3b7fbb001234
6,Norma,Wilson,Female,American,Married,(813)255-4963x87834,millersheila@example.com,1921-12-15,Doctor,Suspected,673ef5fb1679091c5a001234
7,Monique,Carroll,Female,American,Married,001-546-295-4613x424,tiffanymcgrath@example.org,1957-01-19,Policeman,Suspected,673ef5fb8f14e45fce001234
8,Christina,Smith,Female,English,Married,977.989.9826x7842,lsteele@example.net,1929-03-24,Policeman,Innocent,673ef5fbc9f0f895fb001234
9,Michael,Chung,Male,French,Single,400-524-2604x7688,fergusonalexander@example.com,1964-11-23,Engineer,Suspected,673ef5fb45c48cce2e001234
10,Bradley,Robinson,Male,French,Single,(971)406-7795x905,nmorse@example.org,2004-10-10,Policeman,Innocent,673ef5fbd3d9446802001234
11,Jesse,Cooper,Male,French,Single,(861)470-0252x0275,mariahunt@example.net,1953-12-06,Policeman,Guilty,673ef5fb6512bd43d9001234
12,Sabrina,Miles,Male,English,Single,603.976.9632x1972,meadowsdawn@example.org,2009-08-02,Doctor,Suspected,673ef5fbc20ad4d76f001234
13,Kimberly,Hickman,Female,English,Married,+1-594-285-8101x61508,hilljoan@example.org,1915-04-30,Policeman,Innocent,673ef5fbc51ce410c1001234
14,Kimberly,Weaver,Female,French,Married,+1-310-351-9275x925,marcusmiller@example.net,1977-02-23,Engineer,Suspected,673ef5fbaab3238922001234
15,Michelle,Foster,Male,English,Single,(808)844-0046x9558,jonesmaria@example.org,1920-05-31,Engineer,Suspected,673ef5fb9bf31c7ff0001234
16,Curtis,Hickman,Female,Spanish,Married,+1-956-924-5473x845,alicia72@example.net,2004-11-21,Workman,Innocent,673ef5fbc74d97b01e001234
17,Lisa,Day,Male,American,Single,+1-504-301-4565,mitchellangela@example.org,2013-04-04,Engineer,Innocent,673ef5fb70efdf2ec9001234
18,Alexander,Green,Female,French,Single,+1-841-510-7196x24214,catherinestewart@example.net,1979-12-28,Policeman,Suspected,673ef5fb6f4922f455001234
19,Robert,Walters,Female,American,Single,(635)501-9873,mcconnellmatthew@example.org,1983-01-21,Workman,Suspected,673ef5fb1f0e3dad99001234
20,Dawn,Hoffman,Female,Italian,Married,+1-965-510-0947,nicholasmay@example.com,1973-03-23,Workman,Guilty,673ef5fb98f1370821001234
21,Regina,Hendrix,Male,English,Single,989.800.3836x436,gregoryjulie@example.net,1960-11-21,Engineer,Innocent,673ef5fb3c59dc048e001234
22,Carmen,Roberts,Female,American,Single,(258)698-6467,charles27@example.com,2019-08-14,Workman,Guilty,673ef5fbb6d767d2f8001234
23,Michelle,Morgan,Male,Spanish,Single,645-893-3483x95952,justinmckinney@example.org,2019-06-07,Policeman,Guilty,673ef5fb37693cfc74001234
24,Reginald,Jones,Female,Spanish,Single,811-971-7578x500,lewiseric@example.com,1965-01-07,Engineer,Innocent,673ef5fb1ff1de7740001234
25,Karen,Ferguson,Male,Italian,Single,920-210-5942x26838,bsmith@example.com,1955-03-01,Workman,Guilty,673ef5fb8e296a067a001234
26,Cassandra,Sims,Male,French,Married,001-667-514-6708x64895,bjackson@example.org,1919-05-05,Engineer,Innocent,673ef5fb4e732ced34001234
