id,id_person,id_location,first_name,last_name,gender,nationality,relationship_status,phone_number,email,date_of_birth,occupation,status,latitude,longitude,street_name,building_number,city,state,country,postal_code
0,2,23,Joshua,Jones,Male,German,Married,516.932.6940x469,robertreyes@example.com,1944-08-12,Workman,Guilty,-81.590601,13.904366,Renee Street,95449,Erintown,Indiana,Cook Islands,36495
1,4,54,Kelly,Garcia,Male,French,Single,+1-920-996-3966,mpayne@example.com,1957-05-02,Engineer,Innocent,-7.1415035,-127.419055,Lisa Crescent,80042,South Katherineland,New Mexico,Dominican Republic,77760
2,10,53,Heather,Pham,Female,English,Married,(461)600-8983x2200,xchase@example.com,1922-07-30,Doctor,Guilty,-24.39721,157.414849,Daniel Mount,7592,Lake Maryfort,Kansas,Turkmenistan,62998
3,14,25,David,Wallace,Female,Italian,Married,691.379.5673,donaldclay@example.org,2018-06-11,Doctor,Innocent,55.5284385,-39.109221,Susan Ferry,26218,West Seth,Indiana,Myanmar,3368
4,15,50,James,Case,Female,American,Single,(229)405-6872x1902,john71@example.org,2014-08-15,Engineer,Guilty,-30.291092,-38.370968,Melissa Tunnel,24614,Port Whitneyborough,Arkansas,Mayotte,90268
5,19,98,Randy,Bailey,Female,English,Married,001-445-446-3117,christopherwilson@example.com,1948-08-29,Workman,Suspected,-82.7626305,-114.583234,Williams Vista,764,New Misty,Louisiana,Palau,91931
6,29,91,Luis,Schwartz,Female,Italian,Married,(751)246-6521x00036,james06@example.org,2013-10-17,Workman,Suspected,-17.363233,-118.110999,Becker Keys,250,Crystalmouth,Kansas,Maldives,32305
7,32,16,William,Stone,Male,French,Single,001-962-299-8250x44536,emily02@example.org,1959-12-12,Doctor,Innocent,-7.84331,90.920713,Sarah Ferry,3603,Lake Blakeville,Colorado,Christmas Island,85556
8,37,18,Jacob,Sanchez,Male,German,Single,9229421040,amy41@example.com,2002-09-23,Policeman,Guilty,-52.6570415,-102.925944,Robert Brook,94469,New Patricia,Mississippi,Sweden,65866
9,39,93,Ashley,Burns,Male,German,Single,907.702.8985x155,shannonchurch@example.com,1966-01-24,Workman,Guilty,39.9550155,50.159045,Tabitha Rest,7502,North Marthaborough,Indiana,Andorra,42364
10,43,96,Julian,Chandler,Male,French,Married,(376)450-9293,bellantonio@example.com,1960-02-16,Policeman,Suspected,74.624739,-87.970529,Jill Plains,1510,Alexisborough,Arizona,Zambia,29545
11,44,65,Samantha,Hernandez,Male,Spanish,Married,+1-453-413-2697x96637,wendy13@example.org,1925-05-24,Workman,Suspected,4.270628,-43.237521,Heather Freeway,99,Aliciamouth,Alabama,Ecuador,10394
12,51,15,Benjamin,Briggs,Male,Spanish,Single,443-795-8948,samanthahenry@example.org,2015-07-11,Engineer,Guilty,-19.78955,-16.6529,Rasmussen Corner,193,New Cassandra,West Virginia,Kenya,6666
13,52,60,Edward,Adams,Female,Spanish,Married,+1-793-478-4711x808,parkkelly@example.net,2006-12-24,Engineer,Innocent,-69.231939,-164.963964,Smith Rest,8101,East Tammy,Tennessee,French Southern Territories,16519
14,57,73,George,Garcia,Male,German,Married,001-905-507-0757,crodriguez@example.org,1948-07-30,Policeman,Innocent,-14.8151995,173.074364,Sanchez Oval,4595,East Robert,Utah,Brazil,52102
15,59,84,Matthew,Ramirez,Female,French,Married,619.768.7392,ebest@example.net,2019-08-04,Workman,Guilty,79.4430015,44.347157,Mary Prairie,395,New Philipchester,Colorado,Turks and Caicos Islands,24119
16,60,36,Haley,Powell,Male,Italian,Married,(463)475-4761,awest@example.com,1972-01-04,Doctor,Innocent,39.323221,154.227125,Wagner Lakes,5891,Chapmanshire,Missouri,United States Minor Outlying Islands,31545
17,64,12,Jessica,Kennedy,Male,English,Married,+1-236-691-5483x0128,parkerangela@example.com,2009-08-25,Workman,Suspected,69.2270245,-60.365832,Davis Ways,6596,Mooremouth,Tennessee,Mali,71459
18,68,99,Debra,Pena,Male,French,Married,800-625-5545,kwaller@example.com,1949-11-19,Workman,Guilty,-28.9637235,-81.03652,Ward Shore,21646,Mezafort,Texas,Saint Pierre and Miquelon,38981
19,80,20,Gregory,Stephens,Male,French,Single,001-360-992-1158,derekhudson@example.com,1983-08-26,Engineer,Innocent,69.7586535,150.98283,Jessica Avenue,168,West Douglas,South Carolina,Saint Barthelemy,3725
20,93,55,Amy,White,Male,Spanish,Married,795.665.2626x23720,benjamin65@example.net,2015-05-14,Workman,Suspected,10.5386015,-51.831374,Christopher Cape,457,Lake Sarahaven,Indiana,Bahrain,27715
21,96,27,Laura,Kent,Male,French,Married,(651)818-2677x072,mmitchell@example.com,2019-09-18,Engineer,Innocent,42.436977,-76.463538,Danielle Center,9842,Reneemouth,Louisiana,Zambia,47436
22,97,28,William,Holland,Male,French,Single,875-659-3428,dtrujillo@example.org,1943-01-22,Doctor,Innocent,-25.807832,21.566396,Christopher Creek,691,Schwartzstad,North Carolina,Ireland,80318
